date,year,gamepk,type,game_type,temp,condition,wind,venue,home_team,away_team,batter,batter_name,stand,pitcher,pitcher_name,throws,events,description,inning,topbot,abnum,pitchnum,pitch_balls,pitch_strikes,pitch_outs,pitch_call,pitch_type,pitch_startSpeed,pitch_endSpeed,pitch_sz_top,pitch_sz_bot,pitch_x0,pitch_y0,pitch_z0,pitch_extension,pitch_vx0,pitch_vy0,pitch_vz0,pitch_ax,pitch_ay,pitch_az,pitch_pfx_x,pitch_pfx_z,pitch_px,pitch_pz,pitch_x,pitch_y,pitch_breakAngle,pitch_breakLength,pitch_break_y,pitch_spinrate,pitch_breakDirection,pitch_zone,pitch_plateTime,bip_EV,bip_VA,bip_distance,bip_type,bip_hardness,bip_location,bip_hc_x,bip_hc_y,MLB_playID,id
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543281,Josh Harrison,R,592662,Robbie Ray,L,Pop Out,field_out,1,top,0,1,0,0,0,Ball,FF,94.6,85.6,3.49,1.51,2.27,50,5.95,6.42,-11.19,-137.08,-8.79,9.99,33.27,-10.06,5.31,11.74,-1.2,2,162.73,184.9,31.2,3.6,24,2257,148,13,0.4,,,,,,,,,2fcda111-30ab-4e37-9f9d-253ebad33641,632607-543281-592662-1-0-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543281,Josh Harrison,R,592662,Robbie Ray,L,Pop Out,field_out,1,top,0,2,1,0,0,Foul,FF,94.3,85.1,3.26,1.48,2.42,50,5.86,6.45,-9.73,-136.76,-6.64,9.99,33.72,-12.18,5.34,10.69,-0.51,2.54,136.44,170.07,28.8,3.6,24,2296,143,4,0.4,,,,,,,,,a3a855ee-49dc-447e-8180-f7fed4665805,632607-543281-592662-1-0-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,543281,Josh Harrison,R,592662,Robbie Ray,L,Pop Out,field_out,1,top,0,3,1,1,0,"In play, out(s)",FF,92.8,82.5,3.26,1.48,2.52,50,5.86,6.53,-7.12,-134.62,-7.73,10.15,37.21,-10.27,5.7,12.29,0.54,2.17,96.36,180.26,33.6,3.6,24,2217,149,6,0.41,80.3,80,78,popup,medium,3,158.12,198.69,b191ff64-0946-4f4e-83dc-0bc4de700c04,632607-543281-592662-1-0-3
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,516782,Starling Marte,R,592662,Robbie Ray,L,Flyout,field_out,1,top,1,1,0,0,0,"In play, out(s)",FF,95.4,85.6,3.41,1.56,2.44,50,5.77,6.49,-10.14,-138.05,-9.94,12.47,36.34,-10.64,6.59,11.38,-0.46,1.37,134.59,201.86,37.2,3.6,24,2415,143,13,0.4,101.7,26,392,fly_ball,hard,8,103.67,42.12,23676f67-9f6a-430d-aacc-79614e6645fe,632607-516782-592662-1-1-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,621566,Matt Olson,L,592662,Robbie Ray,L,Walk,walk,1,top,2,1,0,0,0,Ball,SL,89.5,82.2,3.46,1.68,2.39,50,5.88,6.25,-8.74,-129.9,-8.36,-1.3,28.18,-22.67,-0.76,5.58,-1.12,0.89,159.69,214.8,7.2,6,24,2084,147,13,0.42,,,,,,,,,e2606c7b-6dd9-4ff4-9627-88e5cf20c498,632607-621566-592662-1-2-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,621566,Matt Olson,L,592662,Robbie Ray,L,Walk,walk,1,top,2,2,1,0,2,Foul,FF,92,82.8,3.58,1.68,2.27,50,6,6.29,-9.51,-133.41,-5.54,8.03,32.82,-12.65,4.52,11,-0.77,2.96,146.46,158.82,22.8,3.6,24,2192,147,11,0.41,,,,,,,,,e92b37f8-2d53-4511-b3f9-3cf13e38c98a,632607-621566-592662-1-2-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,621566,Matt Olson,L,592662,Robbie Ray,L,Walk,walk,1,top,2,3,1,1,2,Ball,SL,89.1,81.6,3.46,1.69,2.4,50.01,5.82,6.35,-8.54,-129.16,-8.98,1.06,28.38,-22.68,0.63,5.66,-0.87,0.54,150.28,224.14,1.2,6,24,2177,145,13,0.43,,,,,,,,,0fc635ff-aa40-461f-89fc-c45a0b9c16af,632607-621566-592662-1-2-3
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,621566,Matt Olson,L,592662,Robbie Ray,L,Walk,walk,1,top,2,4,2,1,2,Foul,FF,94.9,85.7,3.58,1.68,2.4,50.01,5.79,6.46,-9.49,-137.61,-7.65,12.69,34.07,-10.81,6.7,11.28,-0.25,2.22,126.37,178.72,39.6,3.6,24,2352,143,7,0.4,,,,,,,,,38dd601a-8ba0-4196-bdb2-7eb6d6ed2594,632607-621566-592662-1-2-4
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,621566,Matt Olson,L,592662,Robbie Ray,L,Walk,walk,1,top,2,5,2,2,2,Ball,CH,88.9,80.1,3.46,1.69,2.35,50,5.84,6.37,-7.87,-128.77,-9,6.71,31.98,-21.17,4.08,6.69,-0.24,0.6,126.25,222.69,12,6,24,2226,142,13,0.43,,,,,,,,,4ec54a08-b4fc-47fd-9802-d41b305a4881,632607-621566-592662-1-2-5
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,621566,Matt Olson,L,592662,Robbie Ray,L,Walk,walk,1,top,2,6,3,2,2,Ball,SL,90.1,81.3,3.51,1.82,2.61,50.01,5.79,6.2,-4,-130.9,-7.29,1.12,33.11,-23.44,0.66,5.14,1.14,1.16,73.61,207.52,0,6,24,2133,136,14,0.42,,,,,,,,,3989351e-ebab-4d4a-9d5a-e27bbf74e320,632607-621566-592662-1-2-6
